date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set	X	Y	Z
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min			
																																																													
21.05.2025	13:48:10.7		3.276073E+0	4.235962E+0	7.059936E-2	3.275703E+0	4.235484E+0	7.059140E-2	1.900000E+1	0.000000E+0	2.164409E-3	6.774078E-3	2.221525E+1	3.321805E-3	2.218302E+0	1.220112E-2	2.105670E+1	2.557091E-3	2.201238E+1	5.549940E-3	2.223162E+1	6.980040E-4	1.860405E+1	5.708831E-3	4.353332E-1	9.031222E-2	2.196349E+1	5.021755E-3	5.941281E-1	3.041626E-3	2.162536E+1	1.227225E-3	1.946838E+0	8.494733E-3	2.161170E+1	5.050203E-4	6.259448E-1	6.448164E-3	2.228349E+1	1.355525E-3	2.229862E+1	5.964231E-3	2.400000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.036825E+0	3.100000E+0	3.000000E-1	0.000000E+0	2.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:11.7		3.276588E+0	4.236628E+0	7.061047E-2	3.275994E+0	4.235860E+0	7.059767E-2	1.900000E+1	0.000000E+0	1.700332E-3	4.361816E-3	2.221837E+1	2.732596E-3	2.249674E+0	1.489086E-2	2.106027E+1	2.563617E-3	2.199728E+1	6.634221E-3	2.223294E+1	3.438698E-3	1.859330E+1	2.067424E-3	4.250784E-1	8.207402E-2	2.196755E+1	2.333916E-3	5.944925E-1	3.145614E-3	2.162583E+1	3.480475E-3	1.947503E+0	7.387303E-3	2.161456E+1	1.231127E-3	6.264849E-1	5.477089E-3	2.228830E+1	2.219707E-3	2.230572E+1	9.582646E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.029400E+0	3.100000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:12.7		3.281094E+0	4.242454E+0	7.070757E-2	3.280584E+0	4.241796E+0	7.069659E-2	1.900000E+1	0.000000E+0	1.523675E-3	6.131899E-3	2.222070E+1	4.235270E-3	2.253806E+0	1.019210E-2	2.105731E+1	2.387377E-3	2.199761E+1	6.732956E-3	2.223522E+1	6.271127E-3	1.859093E+1	3.316761E-3	4.359372E-1	7.691541E-2	2.196811E+1	2.665741E-3	5.944938E-1	4.782649E-3	2.162618E+1	5.479972E-3	1.947520E+0	1.069129E-2	2.161519E+1	1.663158E-3	6.266989E-1	7.689900E-3	2.228605E+1	4.447550E-3	2.230334E+1	7.709188E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.026427E+0	3.100000E+0	4.200000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.599926E-1	0.000000E+0	1.259955E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:13.7		3.287490E+0	4.250724E+0	7.084540E-2	3.287515E+0	4.250757E+0	7.084594E-2	1.900000E+1	0.000000E+0	2.133704E-3	1.036698E-2	2.221587E+1	4.786171E-3	2.263306E+0	9.414994E-3	2.105352E+1	1.298629E-3	2.197575E+1	1.101877E-2	2.223478E+1	4.206392E-3	1.859670E+1	5.742621E-3	4.439268E-1	9.415476E-2	2.196988E+1	2.876057E-3	5.942640E-1	4.194990E-3	2.162636E+1	4.219503E-3	1.946853E+0	9.591570E-3	2.161761E+1	2.516320E-3	6.263835E-1	7.294875E-3	2.228783E+1	5.870133E-3	2.230378E+1	4.411151E-3	2.800000E+0	0.000000E+0	3.510000E+2	3.500000E+2	3.044250E+0	3.100000E+0	3.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:14.7		3.286927E+0	4.249996E+0	7.083327E-2	3.286927E+0	4.249996E+0	7.083327E-2	1.900000E+1	0.000000E+0	1.498123E-3	6.615490E-3	2.221670E+1	4.677243E-3	2.271616E+0	8.151921E-3	2.105040E+1	2.986958E-3	2.194857E+1	9.317179E-3	2.223577E+1	3.887730E-3	1.860156E+1	8.221950E-3	4.374787E-1	1.219519E-1	2.197271E+1	3.597748E-3	5.943155E-1	2.652063E-3	2.163157E+1	4.370906E-3	1.946853E+0	5.503326E-3	2.162060E+1	6.229831E-3	6.265522E-1	4.030754E-3	2.229104E+1	7.794795E-3	2.230418E+1	5.762627E-3	2.781822E+0	0.000000E+0	3.502159E+2	3.500000E+2	3.036825E+0	3.100000E+0	4.172733E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.431832E-1	0.000000E+0	1.954554E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:15.7		3.292826E+0	4.257624E+0	7.096040E-2	3.292826E+0	4.257624E+0	7.096040E-2	1.900000E+1	0.000000E+0	1.915178E-3	7.078876E-3	2.221560E+1	3.069542E-3	2.270565E+0	1.011633E-2	2.104301E+1	5.539460E-3	2.192123E+1	1.078427E-2	2.223417E+1	6.953537E-3	1.859075E+1	1.478021E-2	4.323370E-1	9.848693E-2	2.196637E+1	4.218094E-3	5.940316E-1	1.811072E-3	2.162907E+1	4.907739E-3	1.947696E+0	7.021516E-3	2.161405E+1	6.188456E-3	6.270359E-1	5.162317E-3	2.228662E+1	8.642292E-3	2.230036E+1	7.067888E-3	2.400000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.036825E+0	3.100000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:16.7		3.294916E+0	4.260327E+0	7.100545E-2	3.294916E+0	4.260327E+0	7.100545E-2	1.900000E+1	0.000000E+0	1.882502E-3	6.835921E-3	2.221175E+1	1.127643E-3	2.271470E+0	7.887838E-3	2.103846E+1	4.159434E-3	2.189302E+1	8.867866E-3	2.223448E+1	4.313102E-3	1.857932E+1	1.584923E-2	4.330703E-1	7.271912E-2	2.196413E+1	2.101839E-3	5.936313E-1	2.074367E-3	2.162647E+1	3.417363E-3	1.947783E+0	8.481389E-3	2.161095E+1	1.016474E-3	6.270763E-1	6.369819E-3	2.228462E+1	2.376773E-3	2.229934E+1	2.654559E-3	2.796372E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.036758E+0	3.100000E+0	3.594558E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.013605E-1	0.000000E+0	1.495465E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:17.7		3.289256E+0	4.253007E+0	7.088346E-2	3.289256E+0	4.253007E+0	7.088346E-2	1.900000E+1	0.000000E+0	1.992580E-3	6.467539E-3	2.221293E+1	9.022900E-4	2.273737E+0	5.437251E-3	2.103471E+1	1.535470E-3	2.187806E+1	1.854048E-2	2.222959E+1	4.385075E-4	1.857770E+1	1.080929E-2	4.409503E-1	8.958339E-2	2.196430E+1	2.154596E-3	5.931827E-1	2.441098E-3	2.162625E+1	2.605487E-3	1.947191E+0	6.259357E-3	2.160987E+1	2.689138E-3	6.266141E-1	5.522796E-3	2.228172E+1	6.129374E-4	2.229589E+1	2.293723E-3	2.400000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.029400E+0	3.100000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
