date	time	comment	T_Heater	T_Heater.set	0.0	0.1	0.2	0.3	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
											°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																								
15.05.2025	16:55:00.8		1.620000E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.300248E-3	2.708100E-3	2.212868E+1	2.014888E-3	1.939558E+0	1.060100E-2	1.281216E+2	1.097985E-2	1.007897E+2	4.098448E-2	3.509506E+1	6.575744E-2	1.043385E+2	6.506951E-2	3.945566E-1	5.978247E-2	2.185973E+1	5.174482E-3	5.334058E-1	1.826186E-3	2.167277E+1	6.187622E-3	1.481498E+0	4.698019E-3	2.164428E+1	5.153903E-3	5.660414E-1	3.219271E-3	2.232777E+1	7.932317E-3	2.228703E+1	4.871386E-3	2.400000E+0	0.000000E+0	4.987500E+2	5.000000E+2	3.330000E+0	3.300000E+0	4.200000E-1	0.000000E+0	2.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:01.8		1.539566E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.779342E-3	4.619633E-3	2.212712E+1	1.996284E-3	1.955117E+0	9.638312E-3	1.281246E+2	8.422850E-3	1.008336E+2	3.497895E-2	3.509055E+1	4.518846E-2	1.044011E+2	4.719784E-2	3.887245E-1	5.627276E-2	2.185834E+1	5.470573E-3	5.334435E-1	2.005128E-3	2.167436E+1	5.283214E-3	1.481676E+0	5.471940E-3	2.164283E+1	6.554350E-3	5.660704E-1	3.822359E-3	2.232279E+1	9.853938E-3	2.228887E+1	5.204889E-3	3.200000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.390000E+0	3.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:02.8		1.619665E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.970042E-3	4.112587E-3	2.212682E+1	3.383557E-3	1.960916E+0	9.832838E-3	1.281408E+2	7.024547E-3	1.008741E+2	2.024336E-2	3.510800E+1	4.111334E-2	1.045406E+2	7.008090E-2	3.932437E-1	5.645399E-2	2.185929E+1	3.188932E-3	5.334539E-1	2.379524E-3	2.167668E+1	3.828980E-3	1.482507E+0	7.099181E-3	2.164528E+1	6.396344E-3	5.663439E-1	5.927351E-3	2.232026E+1	8.038160E-3	2.228711E+1	5.338342E-3	3.200000E+0	0.000000E+0	4.995584E+2	5.000000E+2	3.357663E+0	3.300000E+0	3.553264E-1	0.000000E+0	2.000000E-1	0.000000E+0	8.883160E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.223368E-1	0.000000E+0
15.05.2025	16:55:03.8		1.536617E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.462602E-3	2.603501E-3	2.212685E+1	4.683362E-3	1.953407E+0	9.205457E-3	1.281529E+2	4.622625E-3	1.008783E+2	1.143480E-2	3.518796E+1	3.974430E-2	1.045958E+2	6.633036E-2	4.070326E-1	5.891082E-2	2.185991E+1	7.385594E-4	5.334954E-1	2.356808E-3	2.167629E+1	2.879663E-3	1.482749E+0	5.909340E-3	2.164757E+1	5.806139E-3	5.663178E-1	5.122400E-3	2.232130E+1	5.666777E-3	2.228635E+1	6.360200E-3	3.200000E+0	0.000000E+0	5.002500E+2	5.000000E+2	3.330000E+0	3.300000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
15.05.2025	16:55:04.8		1.613149E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.113117E-3	2.292704E-3	2.212731E+1	4.426589E-3	1.953733E+0	9.201068E-3	1.281620E+2	6.226142E-3	1.008877E+2	2.870882E-2	3.512362E+1	5.170555E-2	1.045063E+2	7.644505E-2	4.056429E-1	6.448759E-2	2.185842E+1	1.257459E-3	5.334614E-1	1.669271E-3	2.167554E+1	2.608001E-3	1.482020E+0	3.051321E-3	2.164393E+1	3.280605E-3	5.659567E-1	2.631008E-3	2.231913E+1	4.256754E-3	2.228891E+1	4.528390E-3	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.330000E+0	3.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:05.8		1.544800E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.340445E-3	2.202081E-3	2.212727E+1	3.806210E-3	1.972192E+0	1.435272E-2	1.281732E+2	5.836184E-3	1.008251E+2	4.150321E-2	3.500277E+1	4.607643E-2	1.045022E+2	1.235323E-1	4.009185E-1	6.459285E-2	2.185626E+1	2.748377E-3	5.333517E-1	1.911834E-3	2.167469E+1	3.492027E-3	1.481525E+0	3.832478E-3	2.164266E+1	1.468911E-3	5.657741E-1	2.847445E-3	2.232012E+1	1.997871E-3	2.228535E+1	2.626878E-3	3.200000E+0	0.000000E+0	4.987500E+2	5.000000E+2	3.360000E+0	3.300000E+0	4.200000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:06.8		1.616963E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.783543E-3	3.923975E-3	2.213029E+1	6.328244E-3	1.974400E+0	1.759011E-2	1.281833E+2	1.007597E-2	1.007503E+2	1.903000E-2	3.499297E+1	2.758379E-2	1.044910E+2	8.637476E-2	3.989625E-1	6.470073E-2	2.185931E+1	8.307899E-3	5.337167E-1	2.274443E-3	2.167535E+1	7.448356E-3	1.481551E+0	3.505552E-3	2.165166E+1	6.939360E-3	5.661999E-1	2.869667E-3	2.232663E+1	5.570105E-3	2.228685E+1	5.651819E-3	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.360000E+0	3.300000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.800000E-1	0.000000E+0
15.05.2025	16:55:07.8		1.536363E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.421095E-3	3.318963E-3	2.213009E+1	6.321005E-3	1.974490E+0	1.719597E-2	1.281868E+2	1.009079E-2	1.007343E+2	6.460504E-3	3.503007E+1	2.756787E-2	1.044441E+2	8.820665E-2	4.027033E-1	6.482678E-2	2.185627E+1	9.141830E-3	5.343039E-1	2.411081E-3	2.167640E+1	6.434100E-3	1.482490E+0	3.723449E-3	2.164906E+1	8.882834E-3	5.673493E-1	2.973213E-3	2.232481E+1	6.963459E-3	2.228654E+1	6.260209E-3	3.200000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.360000E+0	3.300000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
15.05.2025	16:55:08.8		1.628573E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	6.179569E-4	2.470475E-3	2.212395E+1	1.872145E-3	1.992364E+0	1.950349E-2	1.281958E+2	5.510038E-3	1.008312E+2	7.507380E-2	3.493929E+1	6.213305E-2	1.045442E+2	6.070679E-2	3.989463E-1	4.801532E-2	2.185270E+1	4.870396E-3	5.342323E-1	1.513890E-3	2.167609E+1	2.748502E-3	1.482470E+0	3.634716E-3	2.164508E+1	3.006953E-3	5.678228E-1	2.903966E-3	2.231775E+1	2.025009E-3	2.228562E+1	4.594752E-4	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.300000E+0	3.300000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
15.05.2025	16:55:09.8		1.546696E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.038689E-3	2.562426E-3	2.212792E+1	1.545637E-3	1.978147E+0	1.420875E-2	1.282002E+2	3.551492E-3	1.008462E+2	3.775573E-2	3.495354E+1	4.005230E-2	1.045657E+2	1.305266E-1	4.037993E-1	5.835800E-2	2.185727E+1	3.276328E-3	5.344731E-1	1.964055E-3	2.167808E+1	2.003396E-3	1.482180E+0	4.740226E-3	2.164591E+1	1.734500E-3	5.668060E-1	3.586745E-3	2.232177E+1	1.550011E-3	2.228809E+1	2.065596E-3	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.300654E+0	3.300000E+0	3.613086E-1	0.000000E+0	1.989095E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.989095E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:10.8		1.616005E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.679677E-3	4.074533E-3	2.212782E+1	3.686500E-3	1.952188E+0	1.046394E-2	1.282040E+2	1.380881E-3	1.008869E+2	1.606149E-2	3.504392E+1	4.663520E-2	1.046000E+2	1.806222E-1	4.002009E-1	6.083529E-2	2.185805E+1	4.151205E-3	5.341643E-1	1.978070E-3	2.167833E+1	2.336692E-3	1.481417E+0	4.744134E-3	2.164892E+1	1.783815E-3	5.650660E-1	3.603622E-3	2.232308E+1	1.671334E-3	2.228824E+1	4.614153E-3	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.330000E+0	3.300000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:11.8		1.542828E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.927831E-3	5.789443E-3	2.212752E+1	3.659071E-3	1.936287E+0	9.688116E-3	1.282055E+2	2.016811E-3	1.008852E+2	4.411832E-2	3.515484E+1	3.515571E-2	1.044969E+2	1.213547E-1	3.928948E-1	5.731309E-2	2.185530E+1	7.095458E-3	5.342059E-1	2.198267E-3	2.167959E+1	1.767425E-3	1.481910E+0	4.538059E-3	2.164879E+1	1.947571E-3	5.646602E-1	3.901277E-3	2.232220E+1	2.247990E-3	2.228880E+1	4.024023E-3	3.200000E+0	0.000000E+0	5.002500E+2	5.000000E+2	3.360000E+0	3.300000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0
15.05.2025	16:55:12.8		1.610000E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.460223E-3	3.823165E-3	2.212851E+1	9.784913E-4	1.934157E+0	1.077823E-2	1.282071E+2	3.781993E-3	1.008834E+2	2.935551E-2	3.516141E+1	4.675213E-2	1.044030E+2	3.933093E-2	3.968238E-1	5.843552E-2	2.185279E+1	3.738985E-3	5.343830E-1	1.838627E-3	2.167796E+1	2.055998E-3	1.482465E+0	3.798817E-3	2.164705E+1	9.235279E-4	5.653093E-1	3.504392E-3	2.232222E+1	1.318417E-3	2.228490E+1	1.283641E-3	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.270000E+0	3.300000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
15.05.2025	16:55:13.8		1.523899E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.135643E-3	2.247300E-3	2.212155E+1	4.337386E-3	1.941679E+0	1.370515E-2	1.282064E+2	4.400725E-3	1.009089E+2	6.959105E-3	3.512427E+1	5.880386E-2	1.043880E+2	3.303608E-2	4.068867E-1	5.815572E-2	2.185265E+1	1.267384E-3	5.339746E-1	2.190533E-3	2.167414E+1	2.166175E-3	1.481283E+0	5.160661E-3	2.164719E+1	5.403600E-4	5.657365E-1	4.133087E-3	2.231916E+1	1.862563E-3	2.227991E+1	1.377460E-3	2.400000E+0	0.000000E+0	4.987500E+2	5.000000E+2	3.270000E+0	3.300000E+0	4.200000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:14.8		1.617033E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.696432E-4	1.718954E-3	2.212396E+1	6.889108E-3	1.961851E+0	1.482246E-2	1.282044E+2	2.958702E-3	1.009256E+2	5.539773E-3	3.515659E+1	3.302041E-2	1.043510E+2	6.652874E-2	4.046108E-1	5.667782E-2	2.185558E+1	1.654673E-3	5.340098E-1	3.954381E-3	2.167509E+1	2.206940E-3	1.479921E+0	9.202199E-3	2.164793E+1	2.327313E-4	5.659055E-1	7.247280E-3	2.232011E+1	2.569120E-3	2.228256E+1	1.272570E-3	3.200000E+0	0.000000E+0	5.002500E+2	5.000000E+2	3.360000E+0	3.300000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:15.8		1.545508E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.258411E-3	1.846563E-3	2.212849E+1	4.434451E-3	1.977258E+0	1.560812E-2	1.282019E+2	1.780184E-3	1.009243E+2	3.125216E-3	3.513114E+1	3.726900E-2	1.043047E+2	5.956112E-2	4.012811E-1	6.025424E-2	2.185855E+1	2.611215E-3	5.340086E-1	3.350593E-3	2.167837E+1	4.197187E-3	1.477358E+0	8.952565E-3	2.165034E+1	9.582198E-4	5.653581E-1	6.680817E-3	2.232122E+1	2.675993E-3	2.228686E+1	1.794681E-3	2.800000E+0	0.000000E+0	4.987500E+2	5.000000E+2	3.300000E+0	3.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:16.8		1.615503E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.573759E-3	2.783182E-3	2.212787E+1	2.784686E-3	1.978506E+0	1.222705E-2	1.281950E+2	5.273846E-3	1.009177E+2	6.654594E-3	3.506472E+1	4.469599E-2	1.043303E+2	4.420011E-2	4.060202E-1	6.444451E-2	2.185817E+1	2.370366E-3	5.343355E-1	2.977444E-3	2.168033E+1	5.550400E-3	1.475358E+0	8.023876E-3	2.165040E+1	2.471922E-3	5.657724E-1	6.395159E-3	2.231995E+1	3.195051E-3	2.228659E+1	1.630735E-3	3.200000E+0	0.000000E+0	4.987500E+2	5.000000E+2	3.330000E+0	3.300000E+0	4.200000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
15.05.2025	16:55:17.8		1.547426E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.083036E-3	2.525369E-3	2.212979E+1	5.254806E-3	1.970825E+0	1.186321E-2	1.281887E+2	7.204748E-3	1.008937E+2	1.086940E-2	3.501033E+1	4.540450E-2	1.044106E+2	3.068293E-2	4.096751E-1	6.754001E-2	2.185586E+1	8.355475E-4	5.349587E-1	3.407662E-3	2.168172E+1	4.329770E-3	1.474289E+0	6.624834E-3	2.165135E+1	5.279864E-3	5.664262E-1	5.351442E-3	2.232039E+1	4.106425E-3	2.228593E+1	1.264755E-3	2.800000E+0	0.000000E+0	4.995000E+2	5.000000E+2	3.300000E+0	3.300000E+0	3.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
15.05.2025	16:55:18.8		1.618073E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.114905E-3	7.145999E-3	2.213729E+1	7.982336E-3	1.941205E+0	1.006817E-2	1.281645E+2	7.396799E-3	1.008446E+2	4.433470E-2	3.491609E+1	8.140055E-2	1.046150E+2	8.684591E-2	3.914566E-1	5.643510E-2	2.186072E+1	3.072679E-3	5.341902E-1	3.502741E-3	2.168479E+1	5.564762E-3	1.471451E+0	7.613896E-3	2.165173E+1	2.958235E-3	5.651717E-1	5.994698E-3	2.232365E+1	3.946339E-3	2.229287E+1	3.102847E-3	2.400000E+0	0.000000E+0	4.987500E+2	5.000000E+2	3.300000E+0	3.300000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-2	0.000000E+0
15.05.2025	16:55:19.8		1.530972E+2	1.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.697265E-3	4.577594E-3	2.213419E+1	3.645593E-3	1.956281E+0	1.205007E-2	1.281584E+2	5.250960E-3	1.007901E+2	2.695331E-2	3.484604E+1	4.730022E-2	1.046184E+2	5.237797E-2	3.936454E-1	5.332992E-2	2.185760E+1	2.701770E-3	5.343033E-1	2.927800E-3	2.168026E+1	2.623561E-3	1.472590E+0	5.862424E-3	2.165037E+1	2.398657E-3	5.660607E-1	4.521469E-3	2.232193E+1	2.589666E-3	2.229188E+1	2.211113E-3	2.800000E+0	0.000000E+0	5.002500E+2	5.000000E+2	3.360000E+0	3.300000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
