date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1_heat_in	ai12:_HEAT_T1_heat_in_Stabw	ai13:_HEAT_T2_core_out	ai13:_HEAT_T2_core_out_Stabw	ai14:_HEAT_T3_core_in	ai14:_HEAT_T3_core_in_Stabw	ai15:_HEAT_T4_heat_out	ai15:_HEAT_T4_heat_out_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																										
21.05.2025	14:55:00.4		6.556851E+0	8.478008E+0	1.413001E-1	6.562140E+0	8.484846E+0	1.414141E-1	5.804779E+2	5.800000E+2	2.198906E-3	5.845098E-3	2.144813E+1	2.329924E-3	2.903993E+0	6.521338E-3	5.184628E+2	1.345182E-2	3.226099E+2	1.096098E-1	6.422937E+1	2.261011E-1	4.532783E+2	9.608515E-3	2.276500E+0	7.223200E-2	2.326774E+1	3.086879E-3	6.018717E-1	4.473221E-3	2.224324E+1	2.288937E-3	1.922813E+0	1.271977E-2	2.222474E+1	3.481477E-3	6.344915E-1	9.258439E-3	2.223077E+1	4.301169E-3	2.227721E+1	1.525731E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.296400E+0	6.400000E+0	3.000000E-1	0.000000E+0	2.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0
21.05.2025	14:55:01.4		6.555883E+0	8.476757E+0	1.412793E-1	6.550980E+0	8.470417E+0	1.411736E-1	5.801251E+2	5.800000E+2	8.865984E-4	2.147056E-3	2.144436E+1	1.715532E-3	2.899203E+0	3.797420E-3	5.184759E+2	2.576786E-2	3.227379E+2	1.677262E-1	6.374453E+1	2.544517E-1	4.533225E+2	1.600724E-2	2.286912E+0	8.683169E-2	2.326410E+1	2.206380E-4	6.008167E-1	1.869865E-3	2.224794E+1	4.072426E-3	1.920811E+0	6.540808E-3	2.221946E+1	6.436479E-3	6.330695E-1	4.866492E-3	2.221819E+1	4.101589E-3	2.227773E+1	3.412519E-3	2.800000E+0	0.000000E+0	3.487500E+2	3.500000E+2	6.303825E+0	6.400000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0
21.05.2025	14:55:02.4		6.554493E+0	8.474960E+0	1.412493E-1	6.549033E+0	8.467899E+0	1.411317E-1	5.796330E+2	5.800000E+2	1.645583E-3	4.885238E-3	2.144288E+1	2.565959E-3	2.900439E+0	6.524960E-3	5.184876E+2	2.022523E-2	3.222962E+2	3.123453E-1	6.381199E+1	1.012889E-1	4.532982E+2	2.007647E-2	2.295988E+0	1.126893E-1	2.326847E+1	2.449669E-3	6.014385E-1	3.017047E-3	2.224963E+1	3.012866E-3	1.921597E+0	9.313028E-3	2.222631E+1	2.022725E-3	6.333963E-1	7.062307E-3	2.222456E+1	3.606560E-3	2.227755E+1	2.801401E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.288975E+0	6.400000E+0	3.000000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:55:03.4		6.568072E+0	8.492517E+0	1.415420E-1	6.557710E+0	8.479119E+0	1.413186E-1	5.806615E+2	5.800000E+2	1.276804E-3	3.315997E-3	2.144731E+1	1.955674E-3	2.905999E+0	6.999755E-3	5.184786E+2	9.788699E-3	3.224342E+2	1.500925E-1	6.379108E+1	8.692099E-3	4.532664E+2	7.296626E-3	2.303743E+0	1.045782E-1	2.327182E+1	3.790184E-3	6.016004E-1	4.548402E-3	2.224903E+1	8.047115E-4	1.920670E+0	9.261878E-3	2.222821E+1	4.713401E-3	6.327910E-1	6.707827E-3	2.222361E+1	4.138612E-3	2.227479E+1	1.839300E-3	3.200000E+0	0.000000E+0	3.487500E+2	3.500000E+2	6.288975E+0	6.400000E+0	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
21.05.2025	14:55:04.4		6.557309E+0	8.478601E+0	1.413100E-1	6.560759E+0	8.483061E+0	1.413844E-1	5.791920E+2	5.800000E+2	9.837167E-4	2.689388E-3	2.144876E+1	1.884409E-3	2.903766E+0	5.806968E-3	5.185927E+2	2.419832E-2	3.230829E+2	3.346717E-1	6.317181E+1	1.670374E-1	4.532526E+2	9.255193E-3	2.287478E+0	8.589326E-2	2.327186E+1	7.831312E-3	6.013619E-1	2.924981E-3	2.225018E+1	2.318742E-3	1.921701E+0	1.333556E-2	2.222782E+1	6.507011E-3	6.330536E-1	9.108041E-3	2.222731E+1	5.468303E-3	2.227597E+1	6.139026E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.281550E+0	6.400000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
21.05.2025	14:55:05.4		6.558064E+0	8.479576E+0	1.413263E-1	6.558102E+0	8.479626E+0	1.413271E-1	5.812491E+2	5.800000E+2	1.626200E-3	5.879353E-3	2.144191E+1	7.434803E-3	2.902716E+0	5.608728E-3	5.185552E+2	2.208621E-2	3.230878E+2	2.488115E-1	6.335147E+1	2.756846E-1	4.532370E+2	1.933635E-2	2.293048E+0	7.838603E-2	2.327100E+1	6.669892E-3	6.010727E-1	3.291818E-3	2.224507E+1	4.710411E-3	1.919795E+0	9.229395E-3	2.222328E+1	7.654113E-3	6.319572E-1	7.206600E-3	2.221616E+1	7.054314E-3	2.227369E+1	7.751566E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.288975E+0	6.400000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-2	0.000000E+0
21.05.2025	14:55:06.4		6.555232E+0	8.475914E+0	1.412652E-1	6.555232E+0	8.475914E+0	1.412652E-1	5.800592E+2	5.800000E+2	1.142741E-3	4.537214E-3	2.144103E+1	9.584892E-3	2.893303E+0	4.013370E-3	5.185458E+2	1.576348E-2	3.226478E+2	2.812430E-1	6.362115E+1	2.798898E-1	4.532451E+2	1.341184E-2	2.290444E+0	9.978917E-2	2.326557E+1	6.026782E-3	6.003748E-1	1.972550E-3	2.224315E+1	1.615004E-3	1.918959E+0	3.475398E-3	2.222218E+1	1.943666E-3	6.311319E-1	2.621475E-3	2.222242E+1	6.490536E-3	2.227572E+1	5.756011E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.303825E+0	6.400000E+0	3.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:55:07.4		6.557811E+0	8.479250E+0	1.413208E-1	6.557811E+0	8.479250E+0	1.413208E-1	5.815316E+2	5.800000E+2	6.438863E-4	1.538878E-3	2.144452E+1	5.187413E-3	2.893231E+0	4.132729E-3	5.185237E+2	2.315943E-2	3.233299E+2	5.249968E-1	6.344240E+1	6.420939E-2	4.532832E+2	2.061230E-2	2.291233E+0	6.167565E-2	2.326618E+1	5.698664E-3	6.006353E-1	2.088706E-3	2.224402E+1	1.424773E-3	1.920508E+0	4.616765E-3	2.222254E+1	1.876425E-3	6.315536E-1	3.638539E-3	2.221954E+1	4.595384E-3	2.227614E+1	3.133371E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.303825E+0	6.400000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
