date	time	comment	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1_heat_in	ai12:_HEAT_T1_heat_in_Stabw	ai13:_HEAT_T2_core_out	ai13:_HEAT_T2_core_out_Stabw	ai14:_HEAT_T3_core_in	ai14:_HEAT_T3_core_in_Stabw	ai15:_HEAT_T4_heat_out	ai15:_HEAT_T4_heat_out_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																		
16.06.2025	16:33:30.4		1.173466E-3	4.906723E-3	2.227933E+1	1.142308E-3	2.271835E+0	4.670621E-3	1.923458E+1	1.007850E-2	1.691353E+1	2.983219E-3	2.026413E+1	2.631896E-3	1.250089E+1	7.940852E-3	1.085447E+0	1.242721E-1	2.214272E+1	2.056403E-3	5.363643E-1	1.472700E-3	2.182341E+1	2.171257E-3	1.748944E+0	3.322442E-3	2.179593E+1	1.942750E-3	5.891837E-1	2.663994E-3	2.219720E+1	7.996739E-4	2.215673E+1	1.370918E-3	3.200000E+0	0.000000E+0	3.487500E+2	3.500000E+2	6.459750E+0	6.600000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:31.4		1.050911E-3	3.587729E-3	2.227342E+1	4.044565E-3	2.277385E+0	5.268820E-3	1.923210E+1	8.938384E-3	1.691437E+1	2.228733E-3	2.025921E+1	4.575036E-3	1.250000E+1	1.497426E-2	1.073674E+0	1.334976E-1	2.213472E+1	5.765039E-3	5.368569E-1	1.679304E-3	2.182348E+1	2.117155E-3	1.750365E+0	4.637171E-3	2.178454E+1	7.949067E-3	5.900967E-1	3.571298E-3	2.219627E+1	1.532150E-3	2.215554E+1	2.827750E-3	2.831498E+0	0.000000E+0	3.480591E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.539372E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:32.4		1.575791E-3	3.954565E-3	2.227223E+1	5.360879E-3	2.273307E+0	5.970663E-3	1.923295E+1	3.992402E-3	1.691293E+1	1.461791E-3	2.025694E+1	2.103045E-3	1.246778E+1	7.972167E-3	1.087498E+0	8.510161E-2	2.213171E+1	4.462623E-3	5.372921E-1	2.509763E-3	2.182251E+1	2.430415E-3	1.751541E+0	6.600921E-3	2.178305E+1	3.412549E-3	5.907448E-1	4.904955E-3	2.219492E+1	1.926337E-3	2.215576E+1	6.247435E-3	3.200000E+0	0.000000E+0	3.490401E+2	3.500000E+2	6.480344E+0	6.600000E+0	3.367932E-1	0.000000E+0	1.306610E-1	0.000000E+0	6.919829E-1	0.000000E+0	1.613219E-1	0.000000E+0	1.383966E-1	0.000000E+0
16.06.2025	16:33:33.4		2.231949E-3	1.011340E-2	2.227037E+1	3.372882E-3	2.266309E+0	7.632409E-3	1.922982E+1	6.432529E-3	1.690726E+1	1.924860E-3	2.025179E+1	4.801353E-3	1.247048E+1	2.122615E-2	1.088060E+0	7.794532E-2	2.213057E+1	2.484902E-3	5.372471E-1	2.592655E-3	2.182065E+1	4.678418E-3	1.750869E+0	6.820443E-3	2.178613E+1	1.126089E-3	5.904899E-1	6.527861E-3	2.219065E+1	2.214497E-3	2.215257E+1	4.971846E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.489450E+0	6.600000E+0	3.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:34.4		2.762750E-3	1.293825E-2	2.227086E+1	3.430856E-3	2.255649E+0	9.662888E-3	1.923609E+1	3.248870E-3	1.690747E+1	2.354501E-3	2.025815E+1	3.769287E-3	1.250869E+1	1.799694E-2	1.079139E+0	9.285145E-2	2.213196E+1	7.677380E-4	5.364227E-1	4.440090E-3	2.182031E+1	5.126142E-3	1.749888E+0	7.861638E-3	2.178466E+1	3.509015E-3	5.896988E-1	6.200788E-3	2.219571E+1	4.487427E-3	2.215517E+1	2.683673E-3	3.153597E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.069605E-1	0.000000E+0	1.941996E-1	0.000000E+0	7.674013E-1	0.000000E+0	1.441996E-1	0.000000E+0	1.234803E-1	0.000000E+0
16.06.2025	16:33:35.4		1.523671E-3	6.657149E-3	2.227219E+1	6.191337E-3	2.256361E+0	7.715396E-3	1.924154E+1	1.432041E-3	1.691224E+1	1.421294E-3	2.025891E+1	1.878082E-3	1.248427E+1	9.136068E-3	1.097246E+0	1.047354E-1	2.213517E+1	2.368768E-3	5.364150E-1	3.350926E-3	2.182321E+1	2.111732E-3	1.749534E+0	7.637235E-3	2.179108E+1	2.874295E-3	5.890340E-1	5.473174E-3	2.219740E+1	2.614250E-3	2.216144E+1	9.208270E-4	2.971905E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.600000E-1	0.000000E+0	1.714881E-1	0.000000E+0	8.355357E-1	0.000000E+0	1.429762E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:36.4		2.414042E-3	1.106854E-2	2.227308E+1	5.989014E-3	2.264960E+0	1.118311E-2	1.924615E+1	2.390361E-3	1.691927E+1	3.518582E-3	2.025826E+1	1.541757E-3	1.245468E+1	9.308500E-3	1.097519E+0	8.109648E-2	2.213756E+1	3.473273E-3	5.371481E-1	5.490832E-3	2.182135E+1	3.997950E-3	1.750264E+0	8.305872E-3	2.179224E+1	2.226173E-3	5.895444E-1	6.452144E-3	2.219479E+1	5.246742E-3	2.216102E+1	2.938070E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:37.4		2.375384E-3	1.079687E-2	2.227261E+1	6.225086E-3	2.273488E+0	9.276314E-3	1.923971E+1	7.886113E-3	1.692219E+1	4.686870E-3	2.025468E+1	4.650941E-3	1.246154E+1	6.224991E-3	1.087841E+0	8.115645E-2	2.213651E+1	5.691265E-3	5.369956E-1	3.448268E-3	2.181842E+1	7.005020E-3	1.751333E+0	7.906642E-3	2.178767E+1	2.246958E-3	5.904370E-1	5.499273E-3	2.219406E+1	7.488169E-3	2.215908E+1	5.179111E-3	2.846349E+0	0.000000E+0	3.481738E+2	3.500000E+2	6.468896E+0	6.600000E+0	3.530476E-1	0.000000E+0	1.884127E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.442064E-1	0.000000E+0	1.730476E-1	0.000000E+0
16.06.2025	16:33:38.4		1.557060E-3	5.323841E-3	2.227012E+1	4.887626E-3	2.278286E+0	6.922697E-3	1.923602E+1	5.039568E-3	1.691437E+1	4.782649E-3	2.025089E+1	1.807524E-3	1.242015E+1	2.049284E-2	1.079425E+0	7.965272E-2	2.213177E+1	2.650630E-3	5.365923E-1	1.904584E-3	2.181367E+1	7.049013E-3	1.750142E+0	5.461473E-3	2.178783E+1	1.770952E-3	5.895966E-1	3.522767E-3	2.219290E+1	5.834134E-3	2.215047E+1	2.105532E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.478348E+0	6.600000E+0	2.702895E-1	0.000000E+0	1.495175E-1	0.000000E+0	7.485526E-1	0.000000E+0	7.524123E-2	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:39.4		8.498311E-4	2.292013E-3	2.226982E+1	3.505042E-3	2.277652E+0	9.107985E-3	1.923371E+1	3.738753E-3	1.691156E+1	3.836450E-3	2.024835E+1	1.496938E-3	1.241956E+1	1.759924E-2	1.094196E+0	9.193996E-2	2.213029E+1	1.106397E-3	5.370847E-1	4.180811E-3	2.181821E+1	3.139694E-3	1.751679E+0	1.191519E-2	2.178647E+1	3.195840E-3	5.908983E-1	9.975546E-3	2.219010E+1	5.648996E-3	2.215073E+1	1.632145E-3	2.400000E+0	0.000000E+0	3.487500E+2	3.500000E+2	6.474600E+0	6.600000E+0	2.400000E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-1	0.000000E+0	5.000000E-2	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:40.4		9.876970E-4	2.789313E-3	2.227182E+1	1.118675E-3	2.275922E+0	1.019526E-2	1.923365E+1	4.289261E-3	1.691373E+1	6.319038E-3	2.024847E+1	1.198735E-3	1.246843E+1	2.572048E-2	1.087399E+0	6.592440E-2	2.213188E+1	1.049091E-3	5.377824E-1	5.285196E-3	2.182480E+1	1.842712E-3	1.753416E+0	1.467774E-2	2.179177E+1	3.315901E-3	5.922518E-1	1.265680E-2	2.219293E+1	3.359899E-3	2.215352E+1	1.542659E-3	3.200000E+0	0.000000E+0	3.485063E+2	3.500000E+2	6.469776E+0	6.600000E+0	3.397462E-1	0.000000E+0	1.662436E-1	0.000000E+0	6.993654E-1	0.000000E+0	1.162436E-1	0.000000E+0	1.398731E-1	0.000000E+0
16.06.2025	16:33:41.4		1.325156E-3	5.200823E-3	2.226712E+1	2.685038E-3	2.273311E+0	6.469603E-3	1.923562E+1	2.480901E-3	1.691688E+1	4.860954E-3	2.025051E+1	2.592154E-3	1.248513E+1	1.408280E-2	1.085924E+0	7.381719E-2	2.213089E+1	1.038596E-3	5.370514E-1	2.521529E-3	2.181962E+1	4.421558E-3	1.751141E+0	6.570294E-3	2.178721E+1	4.348978E-3	5.903318E-1	5.486697E-3	2.219149E+1	4.146813E-3	2.215256E+1	5.334346E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.489450E+0	6.600000E+0	3.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	5.000000E-2	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:42.4		1.391524E-3	5.594022E-3	2.227089E+1	3.121315E-3	2.272536E+0	6.950639E-3	1.923904E+1	3.757446E-3	1.691560E+1	2.760490E-3	2.025085E+1	3.650950E-3	1.246823E+1	1.316218E-2	1.087770E+0	7.270793E-2	2.213196E+1	1.610375E-3	5.369325E-1	2.089038E-3	2.182276E+1	2.695385E-3	1.750921E+0	6.352247E-3	2.178307E+1	3.005690E-3	5.904277E-1	4.852149E-3	2.219159E+1	5.676174E-3	2.215690E+1	3.442056E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.473421E+0	6.600000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	8.761844E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:43.4		6.971235E-4	2.339061E-3	2.227356E+1	2.324105E-3	2.267720E+0	1.012384E-2	1.924186E+1	2.993838E-3	1.691743E+1	2.073710E-3	2.024788E+1	3.574872E-3	1.248515E+1	1.291070E-2	1.097744E+0	6.473848E-2	2.213201E+1	5.578224E-3	5.374428E-1	5.514285E-3	2.182339E+1	2.496674E-3	1.751550E+0	1.292013E-2	2.178497E+1	3.346096E-3	5.913181E-1	1.103699E-2	2.219426E+1	5.262874E-3	2.215428E+1	1.697491E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.467175E+0	6.600000E+0	2.680413E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:44.4		4.435458E-4	1.189251E-3	2.227376E+1	2.088046E-3	2.265943E+0	1.103839E-2	1.924252E+1	2.442376E-3	1.691839E+1	1.980803E-3	2.024683E+1	3.486186E-3	1.249371E+1	1.215445E-2	1.101331E+0	6.292243E-2	2.213181E+1	6.961030E-3	5.376015E-1	6.692111E-3	2.182286E+1	2.785167E-3	1.751680E+0	1.496139E-2	2.178589E+1	3.713675E-3	5.915237E-1	1.304018E-2	2.219509E+1	4.988459E-3	2.215265E+1	1.508195E-3	2.800000E+0	0.000000E+0	3.487500E+2	3.500000E+2	6.467175E+0	6.600000E+0	2.400000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:45.4		1.216552E-3	3.104286E-3	2.227429E+1	2.627320E-3	2.277531E+0	6.607561E-3	1.923699E+1	4.466605E-3	1.692588E+1	5.851652E-3	2.025019E+1	1.144317E-3	1.243990E+1	2.647050E-3	1.083611E+0	1.007394E-1	2.213338E+1	1.370947E-3	5.363433E-1	2.690563E-3	2.181620E+1	2.171272E-3	1.748971E+0	6.453090E-3	2.178437E+1	5.371184E-3	5.891152E-1	4.388479E-3	2.219711E+1	3.541412E-3	2.215086E+1	3.541556E-3	2.920982E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.467175E+0	6.600000E+0	3.181473E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:46.4		3.965743E-3	1.155844E-2	2.226744E+1	1.513392E-3	2.281531E+0	7.167295E-3	1.923652E+1	2.543535E-3	1.691411E+1	3.736698E-3	2.024454E+1	1.078391E-3	1.245464E+1	4.002934E-3	1.098348E+0	9.174613E-2	2.213307E+1	1.678349E-3	5.371052E-1	3.390903E-3	2.181985E+1	4.276459E-3	1.750206E+0	7.472521E-3	2.178492E+1	4.026773E-3	5.898047E-1	4.780611E-3	2.219191E+1	3.761544E-3	2.215034E+1	4.800070E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.467175E+0	6.600000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:47.4		1.830363E-3	5.195906E-3	2.226775E+1	2.816977E-3	2.279609E+0	6.736216E-3	1.924180E+1	7.058690E-3	1.691254E+1	4.381766E-3	2.024463E+1	1.926362E-3	1.249144E+1	1.723744E-2	1.085522E+0	7.286820E-2	2.213064E+1	1.509440E-3	5.374895E-1	3.924399E-3	2.182255E+1	5.241056E-3	1.750835E+0	9.233085E-3	2.178343E+1	1.888017E-3	5.904207E-1	7.066757E-3	2.218954E+1	2.913998E-3	2.215260E+1	6.511347E-3	2.827124E+0	0.000000E+0	3.487500E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.600000E-1	0.000000E+0	1.932190E-1	0.000000E+0	4.601715E-1	0.000000E+0	1.966095E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:48.4		6.191632E-4	2.013704E-3	2.226689E+1	1.609093E-3	2.280577E+0	6.215320E-3	1.923390E+1	2.672904E-3	1.690837E+1	3.800946E-3	2.024582E+1	1.799199E-3	1.249728E+1	2.082986E-2	1.084445E+0	8.873216E-2	2.213080E+1	1.485547E-3	5.368775E-1	2.945550E-3	2.182145E+1	1.684646E-3	1.750457E+0	7.538348E-3	2.178097E+1	1.964096E-3	5.901033E-1	5.547887E-3	2.219190E+1	2.651128E-3	2.215202E+1	4.516196E-3	3.027342E+0	0.000000E+0	3.490737E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.600000E-1	0.000000E+0	1.431645E-1	0.000000E+0	6.647468E-1	0.000000E+0	1.715823E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:49.4		8.736674E-4	2.763137E-3	2.226546E+1	7.657386E-4	2.279331E+0	5.056141E-3	1.923281E+1	1.125628E-3	1.691143E+1	3.478742E-3	2.024363E+1	2.583742E-3	1.246313E+1	1.356940E-2	1.095149E+0	8.509152E-2	2.213081E+1	1.485001E-3	5.364688E-1	2.105630E-3	2.182276E+1	2.052761E-3	1.750092E+0	6.153051E-3	2.178034E+1	2.694288E-3	5.898988E-1	4.515213E-3	2.219079E+1	3.396041E-3	2.215336E+1	1.540027E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.474600E+0	6.600000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:33:50.4		1.760111E-3	5.625246E-3	2.226427E+1	1.462995E-3	2.275741E+0	4.710233E-3	1.923508E+1	2.085672E-3	1.691282E+1	3.206180E-3	2.023844E+1	3.129437E-3	1.245031E+1	1.280898E-2	1.092701E+0	7.025511E-2	2.213136E+1	1.989384E-3	5.364603E-1	2.502156E-3	2.182077E+1	4.866838E-3	1.749746E+0	5.921231E-3	2.178204E+1	3.321758E-3	5.895803E-1	4.129667E-3	2.218904E+1	4.566422E-3	2.215269E+1	1.573205E-3	2.886952E+0	0.000000E+0	3.489130E+2	3.500000E+2	6.472986E+0	6.600000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	8.673931E-1	0.000000E+0	1.108690E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:33:51.4		1.267928E-3	4.117858E-3	2.226758E+1	4.687977E-4	2.280384E+0	4.583610E-3	1.924102E+1	1.728806E-3	1.691811E+1	1.765761E-3	2.024262E+1	4.668652E-3	1.244321E+1	2.608483E-2	1.091860E+0	8.278508E-2	2.213270E+1	1.093149E-3	5.367649E-1	2.170460E-3	2.181829E+1	5.835146E-3	1.750379E+0	3.695680E-3	2.178752E+1	5.585500E-3	5.899537E-1	3.132800E-3	2.219798E+1	6.386188E-3	2.215589E+1	2.444848E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.467175E+0	6.600000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.804735E-1	0.000000E+0	1.200000E-1	0.000000E+0
